Date,SECURITY,SECURITY TYPE,MODIFIED DURATION,QUANTITY,PRICE,YIELD TO MAT,UNDERLYING SECURITY,POSITION CR01,VALUE PCT NAV,POSITION PVBP,ACCOUNT,PORTFOLIO,MATURITY DATE,UNDERLYING CUSIP,VALUE,TRADE GROUP,STRATEGY,CURRENCY,COMPANY SYMBOL,CUSIP,ISIN,MATURITY BUCKET,COUPON,SECURITY PVBP,SECURITY CR01,CREDIT RATING,SECURITY CLASSIFICATION,UNDERLYING ISIN,BENCHMARK MATURITY DATE,PCT OF OUTSTANDING,FACE VALUE OUTSTANDING,CDS Adj Size (Calc),Yield,Yield CAD Fee Included,Fuding Status,TradeGroup Fixed,Benchmark Yield,Benchmark Yield Including Fee,Sprd Calculated,Sprd Funding Adjusted,OAS (Bloomberg),OAS Fund Adj(Bloomberg),Yrs Calc,Duration Calc,OAD Calc,Yrs Calc (Corps),Yrs Calc (Corps + CDX),Duration Calc (Corps),Duration Calc (Corps + CDX),Funding Cost
06/10/2025,PPL.PR.S.CA,Preferred,0.0,70000.0,25.25,0.0,PPL.PR.S.CA,0.0,0.005570034282246759,0.0,BMO - Credit Opp,YTM Cap Credit Opp,1900-01-01,706327780,1767500.0,PPL.PR,Carry,CAD,PPL,706327780,CA7063277809,,0.0,0.0,0.0,BBB,,CA7063277809,1900-01-01,0.0,0.0,1767500.0,3.25,3.25,Cash,Cash,3.0,3.0,25.0,25.0,25.0,25.0,-0.4410958904109589,0.0,0.0,,,,,0.0
06/10/2025,PPL.PR.S.CA,Preferred,0.0,75000.0,25.25,0.0,PPL.PR.S.CA,0.0,0.005086087597751941,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,706327780,1893750.0,PPL.PR,Carry,CAD,PPL,706327780,CA7063277809,,0.0,0.0,0.0,BBB,,CA7063277809,1900-01-01,0.0,0.0,1893750.0,3.25,3.25,Cash,Cash,3.0,3.0,25.0,25.0,25.0,25.0,-0.4410958904109589,0.0,0.0,,,,,0.0
06/10/2025,CASH CAD,Cash,0.0,-248097167.4048,1.0,0.0,CASH CAD,0.0,-0.7818442589946529,0.0,TD - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-248097167.4048,,,CAD,CASH CAD,123,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-248097167.4048,2.95,2.95,Cash,Cash,2.95,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.95
06/10/2025,CASH CAD,Cash,0.0,-49431139.3815,1.0,0.0,CASH CAD,0.0,-0.15577546872162534,0.0,BMO - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-49431139.3815,,,CAD,CASH CAD,123,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-49431139.3815,3.0,3.0,Cash,Cash,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0
06/10/2025,CASH CAD,Cash,0.0,-23046525.489,1.0,0.0,CASH CAD,0.0,-0.061896579517294735,0.0,TD FIAF,YTM Cap FIAF,1900-01-01,,-23046525.489,,,CAD,CASH CAD,123,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-23046525.489,2.95,2.95,Cash,Cash,2.95,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.95
06/10/2025,CASH USD,Cash,0.0,-744919.9462,1.3674,0.0,CASH USD,0.0,-0.0032099895936715294,0.0,BMO - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-1018603.53443388,,,USD,CASH USD,789,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-1018603.53443388,4.98,4.98,Cash,Cash,4.98,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.98
06/10/2025,CASH CAD,Cash,0.0,4.7624,1.0,0.0,CASH CAD,0.0,0.9870817152107586,0.0,BMO - KJH Credit,KJH Credit Fund,1900-01-01,,4.7624,,,CAD,CASH CAD,123,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,4.7624,2.25,2.25,Cash,Cash,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.25
06/10/2025,CASH CAD,Cash,0.0,439827.7587,1.0,0.0,CASH CAD,0.0,0.001181255450123355,0.0,BMO FIAF (Custody),YTM Cap FIAF,1900-01-01,,439827.7587,,,CAD,CASH CAD,123,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,439827.7587,2.25,2.25,Cash,Cash,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.25
06/10/2025,CASH USD,Cash,0.0,1306427.67,1.3674,0.0,CASH USD,0.0,0.004797799950401057,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,,1786409.195958,,,USD,CASH USD,789,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,1786409.195958,3.88,3.88,Cash,Cash,3.88,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.88
06/10/2025,CASH CAD,Cash,0.0,38792743.3862,1.0,0.0,CASH CAD,0.0,0.10418655631383525,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,,38792743.3862,,,CAD,CASH CAD,123,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,38792743.3862,2.3,2.3,Cash,Cash,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.3
